h,v,deg,error,est_distance,est_residual_knn
4.0,250.0,20.0,0.003992379643023014,0.32015621187164245,0.003389086613121132
4.0,250.0,25.0,0.004314751364290714,0.25,0.004206904210150242
4.0,250.0,30.0,0.004277600906789303,0.25,0.003941649648671349
4.0,250.0,35.0,0.0037722906563431025,0.25,0.0025817348699395857
4.0,250.0,40.0,0.00279979407787323,0.25,0.0030527702377488217
4.0,250.0,45.0,0.002278194297105074,0.3201562118716424,0.0026213861225793758
4.0,300.0,20.0,0.0022797798737883568,0.32015621187164245,0.0021017075438673296
4.0,300.0,25.0,0.0024969757068902254,0.25,0.0022941865415001907
4.0,300.0,30.0,0.002887435257434845,0.25,0.0026266082810858884
4.0,300.0,35.0,0.002757272683084011,0.25,0.0025625627798338733
4.0,300.0,40.0,0.0024594676215201616,0.25,0.0020946212268124023
4.0,300.0,45.0,0.0021599475294351578,0.3201562118716424,0.00157790636876598
